,bookId,gsiId,gsiName,cuNames
0,2710919388,5004373045,trip planner reserve create,['Trip Planner Details']
1,-2086293921,2197412998,States and Capitals v1,"['Login ', 'Ready for Quiz', 'Exit', 'Learn State and Capitals', 'Choose ActionV1', 'Displayv1', 'Select State ', 'Wish to Take Quiz', 'Take Quiz']"
2,6374866311,1016912121947,Quiz Master Piscina,"['ChooseCriterias_QMP', 'Login_QMP', 'SNA2', 'SelectNextAction_QMP', 'Passmachine_QMP', 'SNA1', 'UserIDGenerator_QMP', 'ViewLeaderboard_QMP', 'search reserved cu', 'StoreUserscoredetails_QMP', 'create reserved cu']"
3,4617660863,6246401304,Organization Set up for Roles,"['Generate mail for Users', 'SMS Backend 7', 'HTML Backend 7', 'Send Email Reserved CU', 'Set up Access for Users', 'Send sms Reserved CU']"
4,1981736914,479510674,Customer Policy Amendments,"['Customer Existing Records', 'Updated Customer Data', 'Amend Customer Data']"
5,570940159782,785509109914,logicgsi2onfocus_0610,"['cu3_0610', 'cu4_0610']"
6,4617660863,3843372807,Issue and CAPA Auditee Action,"['search spoc details', 'Connector Issue and capa database', 'Resolve Issue and CAPA 02', 'richtml', 'Trigger back to Auditor 2505', 'search audit plan 900 0706', 'htmlent900', 'Resolve Issue and CAPA 03', 'ID for resolve issue and capa', 'Resolve Issue and CAPA 01', 'Send Email Reserved CU', 'Search Issue CAPA database', 'Reslove issue and capa Database']"
7,570940159782,494110228704,onchange_fetch_922,['fetch_customerdetails_922']
8,-235533008,5456271666,Fixed_Asset_Management,"['tangibleAssets', 'FixedAssetMasterEntry', 'intangibleAssetsUnderDevelopment', 'fixedAssetcategory', 'intangibleAssets', 'capitalWorkInProgress', 'GRNDetails', 'Search GRN no']"
9,-644060957,-1956089628,CUstomerREinstatement,"['Payment by debit card_', 'NSL_smsReservedCu', 'NSL_emailReservedCu', 'Payment by credit card_']"
10,296576707,2676331154,Order Product,"['Register  Customer', 'Select Product', 'Select Delivery Address']"
11,-610070037,-1650087138,New Plan Details 101120,['New PLAN 101120']
